MAMMAL,Top incisors,Bottom incisors,Top canines, Bottom canines,Top premolars,Bottom premolars,Top Molars,Bottom molars
1,BROWN BAT,2,3,1,1,3,3,3,3
2,MOLE,3,2,1,0,3,3,3,3
3,SILVER HAIR BAT,2,3,1,1,2,3,3,3
4,PIGMY BAT,2,3,1,1,2,2,3,3
5,HOUSE BAT,2,3,1,1,1,2,3,3
6,RED BAT,1,3,1,1,2,2,3,3
7,PIKA,2,1,0,0,2,2,3,3
8,RABBIT,2,1,0,0,3,2,3,3
9,BEAVER,1,1,0,0,2,1,3,3
10,GROUNDHOG,1,1,0,0,2,1,3,3
11,GRAY SQUIRREL,1,1,0,0,1,1,3,3
12,HOUSE MOUSE,1,1,0,0,0,0,3,3
13,PORCUPINE,1,1,0,0,1,1,3,3
14,WOLF,3,3,1,1,4,4,2,3
15,BEAR,3,3,1,1,4,4,2,3
16,RACCOON,3,3,1,1,4,4,3,2
17,MARTEN,3,3,1,1,4,4,1,2
18,WEASEL,3,3,1,1,3,3,1,2
19,WOLVERINE,3,3,1,1,4,4,1,2
20,BADGER,3,3,1,1,3,3,1,2
21,RIVER OTTER,3,3,1,1,4,3,1,2
22,SEA OTTER,3,2,1,1,3,3,1,2
23,JAGUAR,3,3,1,1,3,2,1,1
24,COUGAR,3,3,1,1,3,2,1,1
25,FUR SEAL,3,2,1,1,4,4,1,1
26,SEA LION,3,2,1,1,4,4,1,1
27,GREY SEAL,3,2,1,1,3,3,2,2
28,ELEPHANT SEAL,2,1,1,1,4,4,1,1
29,REINDEER,0,4,1,0,3,3,3,3
30,ELK,0,4,1,0,3,3,3,3
31,DEER,0,4,0,0,3,3,3,3
32,MOOSE,0,4,0,0,3,3,3,3
